"","X.1","X","Name","Vial","Patch","Mpatch","Flag","Year","Date","Check","Species","Capt","Tag_start","Mark","Sex","Weight","Colour","White.spot","WS.position","Testes","Vagina","Pubic.bone","Pregnant","Nipples","Lactating","Mites","Ticks","Fleas","Fur.loss","Biopsy","Blood","Isolate","Severity","Bleeder","Comments","Urinate","Deficate","Resists","Pushing","Bites","Squeaks","Handling","Docility","Corrected.Mark"
"168",168,168,"vc","","cro0708",NA,"cl43",2020,"2020-08-03",3,"wv","r","5597753",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5597753"
"169",169,169,"vc","","cro0708",NA,"blank",2020,"2020-08-03",3,"wv","r","10864501",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","was marked with hair clipping rh. Put new pit tag in: 10864501",NA,NA,NA,NA,NA,NA,NA,0,"10864501"
"170",170,170,"vc","","cro0708",NA,"x4",2020,"2020-08-03",3,"wv","r","5597589",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5597589"
"171",171,171,"vc","","cro0708",NA,"b19",2020,"2020-08-03",3,"wv","r","10863945",NA,"m",180,"bl",2,"head","s",NA,NA,NA,NA,NA,0,7,0,0,1,1,1,"m","lm","fully processed the recapture as escaped the last time after pit tagging",1,1,1,1,2,2,2,10,"10863945"
"172",172,172,"vc","vc17","ledx",NA,"p68",2020,"2020-08-04",3,"wv","n","10866168",NA,"m",60,"bl",1,"head","ns",NA,NA,NA,NA,NA,0,1,0,0,1,0,0,NA,NA,"",1,1,0,0,1,2,0,5,"10866168"
"173",173,173,"vc","","ledx",NA,"a55",2020,"2020-08-04",3,"wv","r","10871965",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"10871965"
"174",174,174,"vc","vc23","led2425",NA,"p46",2020,"2020-08-06",1,"wv","nr","10505423",NA,"f",240,"",0,NA,NA,"p","open","Y",2,"Y",0,0,0,0,1,0,0,"","","Colour- ginger",0,1,1,0,2,1,1,6,"10505423"
"175",175,175,"vc","vc18","led2425",NA,"ab04",2020,"2020-08-06",1,"wv","n","5598346",NA,"m",200,"bl/br",1,"back","s",NA,NA,NA,NA,NA,0,1,0,0,1,0,0,"","","",0,1,0,0,0,0,0,1,"5598346"
"176",176,176,"vc","vc19","led2425",NA,"a55",2020,"2020-08-06",1,"fv","n",NA,"ls","m",25,"",NA,"","ns",NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"177",177,177,"vc","vc20","led2425",NA,"p72",2020,"2020-08-06",1,"wv","n","6498073",NA,"m",70,"bl",1,"head","ns",NA,NA,NA,NA,NA,4,0,0,0,1,0,0,"","","",0,1,0,0,1,1,0,3,"6498073"
